Bạn đang ở loại hình nào? ,"Số người ở trong phòng là bao nhiêu? (Số)
","Diện tích phòng của bạn là bao nhiêu m^2? (Điền số)
",  Phòng của bạn nằm ở tầng mấy?  ,  Phòng có bị nắng chiếu trực tiếp nhiều không?  ,  Phòng có cửa sổ/ban công thông thoáng không?  ,Phòng bạn có máy lạnh không?  ,"Nếu có, phòng bạn có bao nhiêu máy lạnh?  ",  Bạn thường để máy lạnh ở mức nhiệt độ bao nhiêu?  ,  Trung bình mỗi ngày bạn bật máy lạnh bao nhiêu giờ?  ,Phòng bạn có bao nhiêu quạt?  (số),  Trung bình mỗi ngày bạn bật quạt bao nhiêu giờ?  ,  Phòng bạn có tủ lạnh không?  ,Phòng bạn có sử dụng bếp điện/bếp từ/nồi cơm điện không? ,  Phòng bạn có máy giặt không?  ,  Trung bình một tuần bạn giặt máy bao nhiêu lần?  ,  Phòng bạn có bình nóng lạnh/máy nước nóng không?  ,  Trung bình mỗi ngày dùng bình nóng lạnh bao lâu?  ,  Bạn có sử dụng máy tính bàn/laptop thường xuyên không?  ,  Các thiết bị khác bạn đang sử dụng  ,  Bạn thường ở phòng vào thời gian nào trong ngày?  ,Trung bình mỗi ngày bạn ở phòng khoảng bao nhiêu giờ?  ,Bạn có thường xuyên học/làm việc online tại phòng không?  ,Bạn có thói quen tắt thiết bị điện khi không sử dụng không?  ,Mức độ sử dụng điện của bạn vào mùa nóng so với bình thường  ,Tiền điện tháng gần nhất của phòng bạn là bao nhiêu?  (VND/tháng),  Số kWh điện tháng gần nhất là bao nhiêu? (kWh) (Không biết có thể bỏ qua),  Giá điện bạn đang trả là bao nhiêu tiền/kWh?  ,Công tơ điện của bạn là loại nào?  , Tiền điện này là của tháng nào?  ,"  Trong tháng đó, bạn có ở phòng đủ cả tháng không?  "
Căn hộ mini,3,22,Tầng trệt,Thỉnh thoảng,"Có, thông thoáng bình thường",Có,1,24–26°C,6,1,12,Có tủ lạnh mini,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,13,Thỉnh thoảng,Luôn luôn,Tăng rất nhiều,584500,167,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,4,19,Tầng trệt,Không,"Có, rất thoáng",Có,1,24–26°C,9,3,6,Có tủ lạnh thường,"Có, nhưng ít",Không,0,Có,Dưới 15 phút,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,17,Thường xuyên,Thỉnh thoảng,Tăng nhẹ,1176000,294,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,2,24,Tầng trệt,Thỉnh thoảng,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,3,8,Có tủ lạnh mini,"Có, sử dụng thường xuyên",Không,0,Có,15–30 phút,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,8,Không,Thỉnh thoảng,Tăng rất nhiều,297500,85,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,4,19,Tầng 1-3,Có,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,1,10,Không,"Có, sử dụng thường xuyên",Có,2,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,18,Không,Thỉnh thoảng,Tăng nhẹ,324000,81,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,4,27,Tầng 4 trở lên,Có,"Có, thông thoáng bình thường",Có,1,Trên 26°C,9,2,11,Có tủ lạnh thường,"Có, nhưng ít",Không,0,Có,15–30 phút,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,18,Thường xuyên,Luôn luôn,Tăng rất nhiều,1076000,269,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,2,29,Tầng 1-3,Thỉnh thoảng,"Có, rất thoáng",Không,0,Không dùng máy lạnh,0,1,11,Có tủ lạnh mini,"Có, nhưng ít",Không,0,Có,15–30 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,15,Không,Thỉnh thoảng,Tăng rất nhiều,421800,111,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,3,24,Tầng trệt,Không,"Có, thông thoáng bình thường",Không,0,Không dùng máy lạnh,0,3,13,Có tủ lạnh mini,"Có, nhưng ít",Không,0,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,17,Không,Luôn luôn,Tăng rất nhiều,367500,105,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,4,25,Tầng trệt,Có,"Có, rất thoáng",Có,1,Dưới 24°C,5,1,11,Có tủ lạnh mini,"Có, sử dụng thường xuyên",Có,3,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,8,Thường xuyên,Thỉnh thoảng,Tăng nhẹ,700000,200,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,4,29,Tầng 4 trở lên,Không,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,1,11,Có tủ lạnh mini,"Có, nhưng ít",Có,2,Có,30–60 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,18,Thỉnh thoảng,Luôn luôn,Tăng nhẹ,507500,145,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,1,29,Tầng trệt,Thỉnh thoảng,"Có, rất thoáng",Không,0,Không dùng máy lạnh,0,2,9,Có tủ lạnh mini,"Có, nhưng ít",Có,2,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,13,Thỉnh thoảng,Luôn luôn,Tăng nhiều,228000,60,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,2,29,Tầng 4 trở lên,Không,"Có, thông thoáng bình thường",Có,1,24–26°C,10,2,10,Có tủ lạnh mini,Không sử dụng,Không,0,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,10,Không,Luôn luôn,Tăng nhẹ,904000,226,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,4,23,Tầng 4 trở lên,Có,"Có, rất thoáng",Không,0,Không dùng máy lạnh,0,1,8,Có tủ lạnh thường,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,10,Không,Luôn luôn,Tăng rất nhiều,385000,110,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,2,22,Tầng 4 trở lên,Không,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,1,9,Không,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,8,Không,Thỉnh thoảng,Tăng rất nhiều,224000,56,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,2,18,Tầng 1-3,Thỉnh thoảng,"Có, thông thoáng bình thường",Có,1,24–26°C,9,2,6,Có tủ lạnh thường,Không sử dụng,Không,0,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,11,Thường xuyên,Thỉnh thoảng,Tăng rất nhiều,728000,208,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,3,29,Tầng trệt,Không,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,3,10,Có tủ lạnh mini,"Có, nhưng ít",Không,0,Có,30–60 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,12,Thường xuyên,Luôn luôn,Tăng nhiều,349600,92,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,2,25,Tầng 1-3,Có,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,1,10,Không,"Có, sử dụng thường xuyên",Không,0,Có,Dưới 15 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,17,Thường xuyên,Thỉnh thoảng,Tăng nhiều,248500,71,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,2,26,Tầng 1-3,Không,"Có, rất thoáng",Có,1,24–26°C,8,1,14,Không,"Có, sử dụng thường xuyên",Không,0,Có,15–30 phút,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,14,Không,Luôn luôn,Tăng nhiều,699200,184,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,4,13,Tầng trệt,Thỉnh thoảng,"Có, thông thoáng bình thường",Không,0,Không dùng máy lạnh,0,3,11,Có tủ lạnh mini,Không sử dụng,Không,0,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,8,Thường xuyên,Luôn luôn,Tăng nhiều,410400,108,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,2,14,Tầng trệt,Không,"Có, rất thoáng",Không,0,Không dùng máy lạnh,0,2,13,Có tủ lạnh thường,Không sử dụng,Không,0,Có,15–30 phút,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,8,Không,Thỉnh thoảng,Tăng rất nhiều,399000,114,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,1,23,Tầng 1-3,Không,Không có cửa sổ,Có,1,24–26°C,4,3,15,Có tủ lạnh thường,"Có, nhưng ít",Không,0,Có,15–30 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,13,Thỉnh thoảng,Luôn luôn,Tăng nhiều,463600,122,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,4,29,Tầng 4 trở lên,Có,Không có cửa sổ,Có,1,Trên 26°C,3,2,8,Có tủ lạnh mini,Không sử dụng,Không,0,Có,15–30 phút,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,10,Không,Thỉnh thoảng,Tăng rất nhiều,581000,166,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,1,23,Tầng 4 trở lên,Có,"Có, thông thoáng bình thường",Không,0,Không dùng máy lạnh,0,3,12,Không,"Có, nhưng ít",Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,15,Thỉnh thoảng,Luôn luôn,Tăng rất nhiều,154000,44,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,2,17,Tầng 1-3,Không,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,3,6,Có tủ lạnh mini,"Có, sử dụng thường xuyên",Không,0,Có,15–30 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,15,Thường xuyên,Luôn luôn,Tăng rất nhiều,315000,90,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,1,13,Tầng 4 trở lên,Không,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,2,11,Có tủ lạnh thường,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,18,Thỉnh thoảng,Thỉnh thoảng,Tăng nhẹ,252000,63,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,2,25,Tầng 4 trở lên,Có,"Có, rất thoáng",Có,1,Dưới 24°C,3,2,12,Có tủ lạnh mini,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,10,Thường xuyên,Thỉnh thoảng,Tăng nhiều,444000,111,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,3,29,Tầng trệt,Có,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,2,14,Không,Không sử dụng,Không,0,Có,15–30 phút,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,13,Thỉnh thoảng,Luôn luôn,Tăng rất nhiều,311500,89,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,1,24,Tầng 4 trở lên,Không,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,1,9,Có tủ lạnh mini,Không sử dụng,Có,4,Có,Dưới 15 phút,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,14,Không,Thỉnh thoảng,Tăng rất nhiều,338200,89,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,2,16,Tầng trệt,Có,Không có cửa sổ,Có,1,24–26°C,7,1,15,Có tủ lạnh mini,Không sử dụng,Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,18,Không,Luôn luôn,Tăng nhẹ,744000,186,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,1,27,Tầng 1-3,Không,Không có cửa sổ,Có,1,Dưới 24°C,6,3,14,Không,Không sử dụng,Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,16,Thường xuyên,Thỉnh thoảng,Tăng nhẹ,459800,121,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,3,26,Tầng 4 trở lên,Không,"Có, thông thoáng bình thường",Có,1,Trên 26°C,4,1,8,Có tủ lạnh thường,"Có, nhưng ít",Không,0,Có,Dưới 15 phút,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,14,Thường xuyên,Luôn luôn,Tăng nhiều,584500,167,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,2,20,Tầng 4 trở lên,Không,"Có, rất thoáng",Có,1,24–26°C,7,3,13,Không,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,18,Không,Thỉnh thoảng,Tăng nhiều,627000,165,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,3,22,Tầng 4 trở lên,Có,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,2,14,Có tủ lạnh thường,"Có, nhưng ít",Không,0,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,15,Thường xuyên,Luôn luôn,Tăng nhẹ,316000,79,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,3,29,Tầng trệt,Không,"Có, thông thoáng bình thường",Không,0,Không dùng máy lạnh,0,2,15,Có tủ lạnh thường,"Có, nhưng ít",Không,0,Có,15–30 phút,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,12,Không,Thỉnh thoảng,Tăng nhẹ,424000,106,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,4,21,Tầng trệt,Có,Không có cửa sổ,Có,1,24–26°C,8,3,12,Không,"Có, nhưng ít",Có,3,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,9,Thường xuyên,Thỉnh thoảng,Tăng nhiều,714000,204,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,2,25,Tầng 4 trở lên,Không,"Có, thông thoáng bình thường",Có,1,Dưới 24°C,6,2,14,Có tủ lạnh thường,Không sử dụng,Không,0,Có,30–60 phút,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,9,Thường xuyên,Luôn luôn,Tăng nhiều,676000,169,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,1,30,Tầng 4 trở lên,Có,Không có cửa sổ,Có,1,24–26°C,6,3,15,Có tủ lạnh thường,"Có, nhưng ít",Không,0,Có,30–60 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,10,Không,Thỉnh thoảng,Tăng rất nhiều,638400,168,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,2,20,Tầng 1-3,Có,"Có, rất thoáng",Có,1,Dưới 24°C,9,1,10,Không,"Có, sử dụng thường xuyên",Có,3,Có,15–30 phút,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,10,Thỉnh thoảng,Thỉnh thoảng,Tăng nhiều,798000,210,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,2,30,Tầng 4 trở lên,Thỉnh thoảng,"Có, thông thoáng bình thường",Có,1,24–26°C,3,3,9,Không,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,13,Thường xuyên,Luôn luôn,Tăng rất nhiều,420000,105,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,2,30,Tầng 4 trở lên,Không,"Có, thông thoáng bình thường",Có,1,24–26°C,8,3,11,Không,Không sử dụng,Không,0,Có,30–60 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,9,Thường xuyên,Thỉnh thoảng,Tăng nhiều,776000,194,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,4,14,Tầng trệt,Không,"Có, thông thoáng bình thường",Có,1,Dưới 24°C,3,2,7,Có tủ lạnh mini,Không sử dụng,Có,4,Có,15–30 phút,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,18,Không,Luôn luôn,Tăng rất nhiều,660000,165,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,3,29,Tầng 4 trở lên,Thỉnh thoảng,"Có, rất thoáng",Không,0,Không dùng máy lạnh,0,3,11,Không,"Có, sử dụng thường xuyên",Không,0,Có,30–60 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,14,Không,Thỉnh thoảng,Tăng nhiều,325500,93,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,4,16,Tầng 4 trở lên,Thỉnh thoảng,"Có, thông thoáng bình thường",Không,0,Không dùng máy lạnh,0,1,9,Có tủ lạnh mini,"Có, nhưng ít",Không,0,Có,30–60 phút,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,10,Không,Luôn luôn,Tăng nhiều,480000,120,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,2,28,Tầng trệt,Không,"Có, rất thoáng",Có,1,Trên 26°C,10,2,13,Không,Không sử dụng,Không,0,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,15,Thỉnh thoảng,Thỉnh thoảng,Tăng nhiều,703000,185,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,1,29,Tầng trệt,Có,"Có, rất thoáng",Có,1,Trên 26°C,4,1,7,Có tủ lạnh mini,Không sử dụng,Có,2,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,17,Không,Luôn luôn,Tăng rất nhiều,406600,107,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,3,16,Tầng trệt,Có,"Có, thông thoáng bình thường",Không,0,Không dùng máy lạnh,0,2,12,Có tủ lạnh thường,"Có, sử dụng thường xuyên",Không,0,Có,30–60 phút,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,18,Thỉnh thoảng,Thỉnh thoảng,Tăng nhẹ,492000,123,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,1,21,Tầng trệt,Thỉnh thoảng,"Có, rất thoáng",Không,0,Không dùng máy lạnh,0,3,10,Có tủ lạnh mini,Không sử dụng,Có,4,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,13,Không,Luôn luôn,Tăng rất nhiều,264000,66,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,4,24,Tầng trệt,Có,"Có, thông thoáng bình thường",Không,0,Không dùng máy lạnh,0,2,11,Không,"Có, sử dụng thường xuyên",Có,3,Có,15–30 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,14,Thỉnh thoảng,Thỉnh thoảng,Tăng rất nhiều,264000,66,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,4,28,Tầng 1-3,Có,"Có, rất thoáng",Có,1,Dưới 24°C,8,2,16,Có tủ lạnh thường,"Có, nhưng ít",Không,0,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,11,Thường xuyên,Luôn luôn,Tăng nhẹ,892000,223,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,1,24,Tầng 4 trở lên,Không,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,2,7,Có tủ lạnh thường,"Có, nhưng ít",Không,0,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,8,Thường xuyên,Luôn luôn,Tăng rất nhiều,285000,75,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,2,13,Tầng 4 trở lên,Thỉnh thoảng,"Có, rất thoáng",Có,1,Dưới 24°C,5,1,9,Không,"Có, nhưng ít",Có,4,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,10,Thỉnh thoảng,Thỉnh thoảng,Tăng nhẹ,496000,124,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,3,21,Tầng trệt,Có,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,3,10,Không,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,8,Thường xuyên,Thỉnh thoảng,Tăng nhiều,254600,67,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,3,18,Tầng 1-3,Thỉnh thoảng,"Có, thông thoáng bình thường",Có,1,Dưới 24°C,4,2,14,Không,"Có, sử dụng thường xuyên",Không,0,Có,30–60 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,13,Không,Thỉnh thoảng,Tăng rất nhiều,511000,146,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,3,17,Tầng 1-3,Không,"Có, thông thoáng bình thường",Có,1,Dưới 24°C,6,3,10,Có tủ lạnh mini,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,17,Không,Luôn luôn,Tăng nhiều,630000,180,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,2,12,Tầng trệt,Có,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,2,6,Không,"Có, nhưng ít",Không,0,Có,30–60 phút,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,8,Không,Luôn luôn,Tăng nhiều,296000,74,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,1,23,Tầng trệt,Thỉnh thoảng,"Có, thông thoáng bình thường",Có,1,24–26°C,9,1,14,Có tủ lạnh thường,"Có, sử dụng thường xuyên",Không,0,Có,15–30 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,13,Thỉnh thoảng,Luôn luôn,Tăng nhiều,786600,207,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,2,26,Tầng trệt,Thỉnh thoảng,"Có, rất thoáng",Có,1,24–26°C,10,3,16,Không,Không sử dụng,Không,0,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,12,Thỉnh thoảng,Luôn luôn,Tăng nhiều,760000,200,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,2,22,Tầng 4 trở lên,Không,"Có, thông thoáng bình thường",Không,0,Không dùng máy lạnh,0,2,8,Có tủ lạnh mini,"Có, nhưng ít",Không,0,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,12,Thỉnh thoảng,Luôn luôn,Tăng rất nhiều,245000,70,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,1,16,Tầng 1-3,Thỉnh thoảng,"Có, thông thoáng bình thường",Có,1,Trên 26°C,3,2,9,Có tủ lạnh mini,"Có, sử dụng thường xuyên",Không,0,Có,30–60 phút,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,14,Thỉnh thoảng,Luôn luôn,Tăng nhiều,486400,128,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,4,17,Tầng 1-3,Thỉnh thoảng,"Có, thông thoáng bình thường",Có,1,24–26°C,3,2,6,Có tủ lạnh mini,Không sử dụng,Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,17,Thỉnh thoảng,Thỉnh thoảng,Tăng nhẹ,665000,175,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,4,12,Tầng trệt,Không,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,1,10,Không,"Có, sử dụng thường xuyên",Không,0,Có,30–60 phút,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,18,Thỉnh thoảng,Luôn luôn,Tăng nhẹ,312000,78,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,1,14,Tầng trệt,Không,"Có, thông thoáng bình thường",Không,0,Không dùng máy lạnh,0,1,11,Có tủ lạnh mini,"Có, nhưng ít",Không,0,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,15,Thường xuyên,Thỉnh thoảng,Tăng nhiều,273000,78,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,1,28,Tầng trệt,Có,"Có, thông thoáng bình thường",Có,1,Dưới 24°C,8,2,13,Có tủ lạnh mini,Không sử dụng,Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,17,Thường xuyên,Thỉnh thoảng,Tăng rất nhiều,546000,156,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,4,22,Tầng 1-3,Thỉnh thoảng,"Có, thông thoáng bình thường",Có,1,Trên 26°C,5,1,10,Không,Không sử dụng,Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,12,Thường xuyên,Luôn luôn,Tăng nhiều,589000,155,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,2,12,Tầng trệt,Có,Không có cửa sổ,Có,1,24–26°C,9,1,8,Không,"Có, nhưng ít",Không,0,Có,15–30 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,17,Thỉnh thoảng,Luôn luôn,Tăng nhẹ,623000,178,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,2,21,Tầng trệt,Có,"Có, thông thoáng bình thường",Có,1,24–26°C,3,1,10,Không,"Có, sử dụng thường xuyên",Có,2,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,12,Không,Thỉnh thoảng,Tăng rất nhiều,276500,79,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,2,23,Tầng 1-3,Thỉnh thoảng,"Có, thông thoáng bình thường",Có,1,Dưới 24°C,10,2,12,Có tủ lạnh thường,"Có, nhưng ít",Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,12,Không,Thỉnh thoảng,Tăng rất nhiều,710500,203,3500đ/kWh,Công tơ riêng,Tháng 4,Có
